,acousticness,artist_name,artist_uri,danceability,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0,0.0655,Renato Vianna,spotify:artist:0rbot8VBGRQ5ac2OQDvqd7,0.552,0.71,['brazilian gospel'],0.0,2,0.126,-4.875,0,15,0.0316,127.952,4,76718DCtTQxGDm7yILxDCd,João De Barro,0.197
1,0.000162,Renato Xtrova,spotify:artist:4i8af1UsFQJByUQvYGfjU5,0.804,0.814,['kwaito house'],0.627,2,0.0417,-4.356,1,24,0.0457,126.001,4,6QxumTwkvIW7sScVouR57e,Angolano Kikola (Feat. Eddy Tussa),0.552
2,0.37,Renato Zero,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,0.324,0.714,"['classic italian pop', 'italian pop']",0.0,4,0.724,-6.338,1,41,0.0453,133.906,4,01Mi9xc3nOoxuJWSptf7LY,We Are The World,0.296
3,0.861,Renaud,spotify:artist:15uNxh8omvRvH71kcdIe2r,0.363,0.368,"['classical performance', 'violin']",4.99e-06,11,0.0937,-12.878,0,56,0.0418,82.717,4,4JSBfXhgPkpdprAVafbTE3,Mistral gagnant,0.393
4,0.978,Renaud Capuçon,spotify:artist:6ttz1LgWFVgRiNDOjtDb2L,0.203,0.0504,"['classical performance', 'violin']",0.0367,6,0.0497,-25.697,0,36,0.0452,87.264,3,1uxBSLluOOK68RSvLpeJpg,"Franck: Violin Sonata in A Major, FWV 8: I. Allegretto ben moderato",0.0354
5,0.808,Renaud Garcia-Fons,spotify:artist:2beRN3D0I38WBoTqrUTgjZ,0.591,0.387,"['arab folk', 'contemporary jazz']",0.747,2,0.0856,-7.837,0,35,0.0432,102.098,3,2kiJtxn3TsyWMRi06Vh4E0,Les rues vagabondes,0.413
6,0.122,Rend Collective,spotify:artist:11Y54BxlxC3UIAUkU2eadQ,0.545,0.686,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'indiecoustica', 'worship']",0.0,9,0.198,-4.76,1,57,0.0354,89.994,4,7ewrtrIaGOiKh3G0zD5egG,Counting Every Blessing,0.182
7,0.642,Rendezvous At Two,spotify:artist:2EcDZA7LVlXzUhOqYzhNGK,0.8,0.278,['indie r&b'],0.0,5,0.0731,-15.243,1,54,0.247,103.918,4,1ExN8iVQIqf0LUb2F151wo,F*ck Me & Feed Me,0.71
8,0.118,Rene & Angela,spotify:artist:01Wck2m10xhdxUrLaMq60y,0.815,0.646,"['disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",4.8e-05,10,0.0733,-9.784,1,52,0.0546,108.392,4,2SPNs07BKygbkbf48KNFEQ,I'll Be Good,0.757
9,0.142,Rene & Rene,spotify:artist:5bSfBBCxY8QAk4Pifveisz,0.716,0.425,"['disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",1.88e-06,7,0.0836,-6.959,1,68,0.0297,129.933,4,6L1zCcEC2nflzD0lMiAvBn,Calidad Y Cantidad,0.606
10,0.0393,Rene Alonso Y Su Banda Lasser,spotify:artist:0TUwtBXvKKGH00bbV6TGFx,0.94,0.592,['cumbia salvadorena'],0.178,8,0.0442,-6.586,1,30,0.0463,108.166,4,20GucL1XIwuBwnkbKeNvWI,Chica De Humo,0.889
11,0.0393,Rene Amesz,spotify:artist:0TUwtBXvKKGH00bbV6TGFx,0.94,0.592,"['funky tech house', 'house']",0.178,8,0.0442,-6.586,1,30,0.0463,108.166,4,0aakV2PCb4eeqUcqfd8Don,Stick It In (Mix Cut),0.889
12,0.678,Rene Auberjonois,spotify:artist:5sy77gt4bfsLcSQ8GIe4ZZ,0.464,0.351,['movie tunes'],0.0,7,0.257,-14.606,1,43,0.256,69.636,4,04LkB4linu702YDzlrQNDi,"Les Poissons - From ""The Little Mermaid”/Soundtrack Version",0.69
13,0.989,René Aubry,spotify:artist:1dyZDfHcTtUJjx0DFBcOvc,0.583,0.193,"['ballet class', 'compositional ambient', 'new tribe']",0.928,6,0.108,-17.436,0,46,0.0413,100.003,4,4KJHTdyIUdhKEuZdV3UuWR,Séduction,0.401
14,0.265,René González,spotify:artist:65cuDgm56bv2MhCytEVRRF,0.687,0.415,['latin christian'],7.66e-05,4,0.589,-10.011,0,43,0.0597,147.869,3,1NCTct9qpCjylaLWrR9RCS,Despues de la Caída,0.219
15,0.839,René Jacobs,spotify:artist:4NJhFmfw43RLBLjQvxDuRS,0.386,0.0738,"['baroque ensemble', 'choral', 'classical performance', 'early music ensemble', 'opera', 'orchestral performance']",0.947,2,0.155,-19.369,1,60,0.0433,142.499,4,4rjnWmrSRqXVkFWdKMG3pV,"Le Nozze di Figaro, K. 492: Sinfonia",0.172
16,0.897,René Kollo,spotify:artist:0saY1OFASKxGUfEYwQyze5,0.157,0.435,['classical tenor'],0.0,11,0.37,-7.447,1,0,0.0373,63.674,4,7rwhKoHeLTlOymY0cWV7Gb,Melodien von / melodies by Walter & Willi Kollo,0.14
17,0.69,Rene Liu,spotify:artist:6qzfo7jiO4OrhxrvPFPlWX,0.677,0.5,"['c-pop', 'classic mandopop', 'mandopop']",0.0,3,0.174,-8.285,1,49,0.0265,149.784,4,2wzXhxWPX0aODraKNXoJYY,後來,0.375
18,0.142,Rene y Rene,spotify:artist:5bSfBBCxY8QAk4Pifveisz,0.716,0.425,"['disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",1.88e-06,7,0.0836,-6.959,1,68,0.0297,129.933,4,6L1zCcEC2nflzD0lMiAvBn,Calidad Y Cantidad,0.606
19,0.934,Renee & Jeremy,spotify:artist:7IBisryIBGbvj4wBDuRvy5,0.507,0.089,"[""children's music""]",0.00013,3,0.114,-17.535,1,41,0.183,68.796,3,2CYei3Irt9Aqlnf5Lz88jb,Powder Blue Solo,0.154
20,0.929,Renée Fleming,spotify:artist:0OcclcP5o8VKH2TRqSY2A7,0.165,0.117,"['classical soprano', 'opera', 'operatic pop']",0.909,4,0.692,-17.526,0,46,0.0412,129.591,4,6a1HCgaisv3CMMEHZoXZ9z,The Grace Of Undómiel - feat. Renée Fleming,0.0365
21,0.841,Renee Olstead,spotify:artist:19B0pJt4UEl3fUijGTRzxB,0.666,0.303,"['adult standards', 'cabaret', 'christmas', 'lounge', 'vocal jazz']",0.000711,11,0.0971,-11.028,0,54,0.0356,81.923,4,4bJbSERtCqK9D6DRUPMmMh,A Love That Will Last,0.342
22,0.481,Renée Zellweger,spotify:artist:4o6DE8hZbgTTInaDQDEQVa,0.514,0.403,"['hollywood', 'show tunes']",0.0,5,0.11,-9.377,0,51,0.0429,132.683,4,7nOhijGWNbwBpzmQ6XqLRG,Roxie,0.464
23,0.446,Renz,spotify:artist:1UPqjhxU3AcCAe3O8GryBm,0.534,0.817,"['classic opm', 'manila sound']",0.0,1,0.121,-5.756,1,31,0.458,166.741,4,6w56coVxyWzpM4rNATx7HH,More Pressure,0.399
