,acousticness,artist_name,artist_uri,danceability,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0,0.971,Concentus Musicus Wien,spotify:artist:5aIqB5nVVvmFsvSdExz408,0.224,0.0483,['classical performance'],0.0288,9,0.153,-23.287,1,46,0.0466,100.555,4,3OAmSH2yZCPVwsX3jDhT1u,"Bach, JS : Cantata No.208 Was mir behagt BWV208, 'Hunt' : IX Aria - ""Schafe können sicher weiden"" [Pales]",0.0645
1,0.675,Concepts,spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0,0.549,0.268,"['electronicore', 'metalcore', 'post-post-hardcore', 'post-screamo']",0.0,8,0.262,-12.985,1,65,0.0398,124.322,4,4SMMOGaeYvIvjSbq7RRdrk,You Make Me Feel So Young - 1998 Digital Remaster,0.578
2,0.994,ConcernedApe,spotify:artist:2PqkSKtPxs112KDZdRXGO2,0.512,0.0305,['deep chiptune'],0.926,4,0.0875,-20.712,1,37,0.0394,94.986,4,5oXVwGwCArQrkbxzUYTMtb,Mines (Cloth),0.154
3,0.939,Concerto Italiano,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,0.153,0.00658,"['baroque ensemble', 'choral', 'classical performance', 'early music ensemble']",0.000272,6,0.09,-27.202,0,40,0.0527,66.083,4,4UwG2k8Oqm6cTLpy1Deug0,"Concerto per la solennità di San Lorenzo, RV 556 : II. Largo e cantabile",0.18
4,0.981,Concerto Köln,spotify:artist:7y97mc3bZRFXzT2szRM4L4,0.219,0.0461,"['baroque ensemble', 'classical performance', 'opera']",0.913,8,0.111,-24.995,1,45,0.0387,81.33,4,1G8j4QoiwYUaWdqK8bJpVP,"Piano Concerto No.2 in F Minor, Op.21: 2. Larghetto",0.064
5,0.972,Concerto Vocale,spotify:artist:5iAhVgz6P8Nylxijb0C65v,0.309,0.0169,['classical performance'],0.0,7,0.0598,-30.449,1,15,0.0429,73.721,4,037okwUr1nVLO54Mj2MIta,"L'incoronazione di Poppea: Act III, scene 8. Duo Poppea/Nerone ""Pur ti miro""",0.0539
6,0.142,Conchita Wurst,spotify:artist:1TGdxJ3UvFq055SVjwx49v,0.425,0.503,"['eurovision', 'strut']",0.0,2,0.105,-6.324,0,45,0.0256,81.653,4,1ijX03QOR6a1wI322HifSV,Rise Like a Phoenix,0.23
7,0.584,Concord String Quartet,spotify:artist:3znN48NuBDZ9v1MQ7UReIY,0.238,0.0852,['string quartet'],0.0019,4,0.259,-26.772,0,0,0.0831,87.306,4,2ktW6zX92P1WKxKz6R3tax,String Quartet,0.04
8,0.975,Concordia University Chicago Wind Symphony,spotify:artist:0nxRn8CNiMyuKjtXpLJLBu,0.0617,0.00337,['wind ensemble'],0.908,1,0.142,-27.392,1,25,0.0446,67.887,3,2RKc1FwWpx5x29mDz7N3cx,On A Hymnsong of Philip Bliss,0.0374
9,0.0137,Concrete Blonde,spotify:artist:2ICSjfBpos9PxMhGhX25N2,0.608,0.771,['lilith'],0.0107,7,0.205,-5.289,1,47,0.0296,118.716,4,04UWtAIMwi67MG8uHwYqgK,Joey,0.322
10,0.231,Conducta,spotify:artist:7tU1VKOuxiNZwBZC6RHidA,0.711,0.841,"['deep groove house', 'speed garage', 'uk garage']",9.85e-05,6,0.191,-4.775,0,61,0.0917,176.027,4,3tI4duDhHmmz1Sp7RX0Jbq,Mala Conducta,0.964
11,0.00011,Conducting From The Grave,spotify:artist:4RwCcFq1OnRF3cRnZVlVp7,0.306,0.986,"['brutal deathcore', 'death core', 'melodic metalcore']",0.64,2,0.111,-3.451,1,27,0.12,104.971,4,4btG1gIQA3g7GswDxCaKz4,And Our War Will Dawn,0.0863
12,0.509,ConeCrewDiretoria,spotify:artist:0iUdFhwiXjGQWAt9yXPP1T,0.72,0.684,"['brazilian electronica', 'brazilian hip hop', 'deep funk carioca']",0.0,9,0.0605,-5.851,0,56,0.309,92.961,4,5yt9hSHbz45FCTxpJLiiV0,Rainha da Pista,0.57
13,0.169,Conejo,spotify:artist:3mndTMiP2EOug7cIjq177j,0.61,0.864,"['chicano rap', 'latin hip hop']",1.16e-06,0,0.62,-4.928,0,39,0.208,89.524,4,3KGfwM3tPcJyRYS7G9oREb,The Devil Is Inside,0.55
14,0.0452,Confederate Railroad,spotify:artist:1YPIe9qIMa99O0a0OW47Be,0.639,0.795,"['country', 'country road', 'country rock', 'nashville sound', 'outlaw country', 'redneck', 'southern rock', 'traditional country']",0.0,9,0.121,-6.634,1,50,0.0344,142.566,4,7EeTwuxEO4JXNbQP7nhrDB,Trashy Women - Remastered Version,0.864
15,0.124,Confide,spotify:artist:21WS9wngs9AqFckK7yYJPM,0.75,0.543,"['melodic metalcore', 'metalcore', 'screamo']",0.0,1,0.195,-5.198,1,51,0.186,140.031,4,7MN2830IeYPiMb3ubMpgMW,Confide (feat. Juicy J),0.309
16,0.0717,Congo Natty,spotify:artist:1NngQUSMHaauD7UjKuaH2W,0.729,0.874,"['drum and bass', 'jungle', 'ragga jungle']",0.0,7,0.825,-6.724,1,38,0.163,88.015,4,0WKFE4bdpZMMPpqw9hf1mZ,Rebel,0.559
17,0.985,Congregation of St. Lazarus Autun,spotify:artist:4kCZ5nyurc9eIqLJfUcW0Y,0.171,0.0277,['monastic'],0.000186,4,0.0822,-23.523,1,25,0.0607,175.282,4,5F85nf7tK40xjyQA9Qgj1D,Mater Domini - Festivita Mariane: Salve Regina,0.0543
18,0.124,Conjunto 4 Norte,spotify:artist:3OTCzi6rYUjYkAkM3SWklO,0.87,0.888,['deep norteno'],1.54e-06,7,0.0517,-4.426,1,33,0.0459,126.018,4,0nQoWRWNKZ0ZNw00ojvnqD,Popurrí De Merequetengues,0.961
19,0.124,Conjunto Acapulco Tropical de Walter Torres,spotify:artist:3OTCzi6rYUjYkAkM3SWklO,0.87,0.888,['deep norteno'],1.54e-06,7,0.0517,-4.426,1,33,0.0459,126.018,4,45ejPjfOaTGKaqFgcBmD1v,Acapulco Tropical,0.961
20,0.153,Conjunto Agua Azul,spotify:artist:0gZHnsLe1aKqOFk91JgfKE,0.769,0.788,"['deep norteno', 'duranguense', 'norteno']",0.0,9,0.217,-2.316,1,43,0.0312,107.561,4,0pSHoCrhd3Z74eI4kVbTqC,Mi Luna Mi Estrella,0.555
21,0.406,Conjunto Amanecer,spotify:artist:0wCyyn2rUtk96O0ZBzgM33,0.675,0.465,"['deep norteno', 'duranguense', 'norteno', 'regional mexican']",0.0,3,0.0588,-5.617,1,40,0.038,130.093,3,7JSaJST70jFev2GFQCo0Ci,El Moño Negro (feat. Con Los Mejores),0.567
22,0.219,Conjunto Atardecer,spotify:artist:5Q9lZeceisTLfkThW0fd94,0.664,0.822,"['banda', 'cumbia', 'duranguense', 'grupera', 'norteno', 'regional mexican']",0.000479,7,0.248,-2.909,1,50,0.0554,109.566,4,2S68xcVnd9HqWQGjpclt3x,Se Va Muriendo Mi Alma,0.756
23,0.197,Conjunto Azabache,spotify:artist:6DW1NmhrCCFdZbao86wchK,0.753,0.723,"['duranguense', 'norteno']",3.49e-06,8,0.2,-4.369,1,45,0.0317,124.075,4,1ZvEGL7czmsCBW4wlhsLJf,Oh Mama,0.84
24,0.556,Conjunto Clasico / Tito Nieves,spotify:artist:0RnIxNYhxW5DnxUXC5pGjE,0.561,0.626,"['boogaloo', 'latin jazz', 'salsa', 'salsa international']",1.86e-06,0,0.0676,-8.853,0,40,0.0404,171.504,4,5DtgZDktHvgUPW6tfOWXm8,Señora Ley,0.947
25,0.157,Conjunto Inizzio,spotify:artist:7ba2KS5N4kig7WpcHANeqC,0.713,0.681,['tejano'],0.000137,5,0.0842,-7.218,1,19,0.0538,90.275,4,5iHIPmRykR7ItVlpJd7kZC,Put It on Facebook,0.781
