,acousticness,artist_name,artist_uri,danceability,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0,8.46e-05,Teminite,spotify:artist:5EEuae5uigQnwgYCl0s8EF,0.458,0.962,"['brostep', 'catstep', 'edm', 'tracestep', 'zapstep']",0.844,1,0.387,-5.123,1,48,0.0414,87.027,4,69Fb0QSrw7XZ84tOUJg0U1,Beastmode,0.531
1,0.943,Tempera Quartet,spotify:artist:65xGRxokvIRuIEqfxosFo3,0.0727,0.00748,['string quartet'],0.00622,2,0.106,-33.682,1,0,0.0421,79.955,3,4dFSxbS3OrpvueTxhVh5uM,"String Quartet No. 10, Op. 142: I. Nocturne: Adagio sostenuto",0.0305
2,0.025,Temple Of The Dog,spotify:artist:0iHb0mCbqZTYeb4y9Pirrd,0.369,0.613,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'post-grunge', 'rock']",4.96e-06,7,0.101,-10.847,1,61,0.0335,137.793,4,0W7AbEauB7cP4pidLclApe,Hunger Strike,0.338
3,0.025,Temple of Void,spotify:artist:0iHb0mCbqZTYeb4y9Pirrd,0.369,0.613,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'post-grunge', 'rock']",4.96e-06,7,0.101,-10.847,1,61,0.0335,137.793,4,0W7AbEauB7cP4pidLclApe,Hunger Strike,0.338
4,0.0739,Temple One,spotify:artist:7hCsRnXtcbez8msLPfjbkz,0.537,0.887,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']",0.0327,4,0.377,-5.093,1,35,0.0499,127.924,4,2A61UXeruPvEdX6qO4ZhR5,Two Headed Dog (Red Temple Prayer),0.837
5,0.000212,Temples,spotify:artist:4ogwGU9VPWrnVBs1GEwZVV,0.491,0.899,"['garage rock', 'neo-psychedelic']",8.52e-05,9,0.167,-3.315,1,46,0.0373,126.061,4,2nDkHJPY0vpydGiiDABaS6,Shelter Song,0.537
6,0.192,Tempo,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,0.769,0.482,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",0.0,10,0.0903,-7.205,1,71,0.0502,120.959,4,0709StHzSeXpdj2zmqF2o2,Tempo,0.487
7,0.192,Tempo,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,0.769,0.482,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",0.0,10,0.0903,-7.205,1,71,0.0502,120.959,4,0709StHzSeXpdj2zmqF2o2,Tempo,0.487
8,0.495,Temporex,spotify:artist:3BBCgZVbXFRzcnT1ewVfRt,0.546,0.669,"['indie garage rock', 'lo-fi beats']",0.735,2,0.25,-10.806,1,61,0.103,75.144,4,5H2WmzaijYOGTHeHdM3w9P,Nice Boys,0.337
9,0.0977,TEN,spotify:artist:4kYSro6naA4h99UJvo89HB,0.806,0.57,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",0.0,1,0.105,-6.927,1,76,0.246,93.015,4,7p2ewixAShLpjDZrnzZK7c,Get Up 10,0.454
