,acousticness,artist_name,artist_uri,danceability,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0,0.535,Sanchez,spotify:artist:3smfreCkyJt7bShaTYpG77,0.836,0.637,"['banda', 'grupera', 'norteno', 'regional mexican']",0.0,6,0.129,-4.803,1,71,0.0367,120.025,4,3UI9I3e1g1y5T3SMfdgfGO,Colgando en tus manos (con Marta Sánchez),0.875
1,0.535,Sanchez,spotify:artist:3smfreCkyJt7bShaTYpG77,0.836,0.637,"['banda', 'grupera', 'norteno', 'regional mexican']",0.0,6,0.129,-4.803,1,71,0.0367,120.025,4,3UI9I3e1g1y5T3SMfdgfGO,Colgando en tus manos (con Marta Sánchez),0.875
2,0.0266,Sanctus Real,spotify:artist:6QgOGgahvXBHEEzpjbDsOj,0.314,0.644,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",0.0,1,0.108,-4.646,1,53,0.0345,198.063,4,7iuU9NU6rhcWNYJ1KjylTO,Lead Me,0.27
3,0.169,Sander van Doorn,spotify:artist:22bukBZvUppuwQwmDz75Gz,0.46,0.728,"['big room', 'deep big room', 'edm', 'electro house', 'house', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house']",0.000199,5,0.66,-4.162,1,71,0.0376,127.991,4,2E5amaomMJkbkOe2TAkhD4,No Words (feat. Belle Humble),0.142
4,0.358,Sander W.,spotify:artist:1g3DHFTgwP8SbgH5ND8lVj,0.735,0.637,"['deep tropical house', 'tropical house']",9.4e-06,8,0.229,-6.271,0,49,0.0467,119.942,4,2s5gbYQnyEp4Ryb2PSv1UN,Save The World (feat. Axelle),0.248
5,0.329,Sandesh Shandilya,spotify:artist:4YgUVg4p7xtMOrOS4GjiJZ,0.626,0.69,"['desi', 'filmi', 'indian pop']",0.000209,5,0.134,-5.851,1,44,0.0595,79.995,4,0mWtcNIAL9jITVHl3F2SQF,Suraj Hua Maddham,0.566
6,0.833,Sandeul,spotify:artist:2QeJBmgBdpH4i3uJns5Rdx,0.367,0.498,['korean pop'],0.0,2,0.0997,-5.111,1,44,0.0376,147.068,4,7mmJrjETQmb0Y5GC3FQe1j,One More Step,0.387
7,0.963,Sandi Patty,spotify:artist:6qCQcw3ZKdmAFv0v4u5ey2,0.191,0.182,"['christian music', 'christian relaxative', 'worship']",0.000215,9,0.122,-12.831,1,33,0.0335,102.574,3,1CHGfkOIHurodmnFYLDEeB,Beauty and the Beast (feat. Sandi Patty),0.0784
8,0.919,Sandor Enyedi,spotify:artist:2aoKweQLRUswWN96lrtKT1,0.46,0.317,['classify'],0.884,7,0.12,-10.725,1,43,0.0442,145.676,3,1RxT8Cc17bpd4s2PSH4JHp,See You Again,0.352
9,0.0156,Sandoval,spotify:artist:4ON1ruy5ijE7ZPQthbrkgI,0.841,0.639,"['jazz trumpet', 'latin jazz']",0.0654,9,0.0545,-6.052,0,77,0.0688,99.002,4,7EVk9tRb6beJLTHrg6AkY9,Tuesday (feat. Danelle Sandoval),0.675
