,acousticness,artist_name,artist_uri,danceability,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0,0.47,Paolo Nutini,spotify:artist:7x5rK9BClDQ8wmCkYAGsQp,0.748,0.735,"['folk-pop', 'neo mellow', 'neo soul', 'pop']",1.09e-05,8,0.0851,-8.692,1,67,0.0903,150.04,4,265Anh9hGoozFigjUVLUeD,New Shoes,0.854
1,0.72,Paolo Santos,spotify:artist:33kC1w8s5cXEi1zyJZuqSI,0.639,0.467,"['classic opm', 'opm', 'pinoy alternative']",5.24e-06,11,0.0941,-8.088,1,52,0.0275,130.403,4,7yRbHW3AvzJyNvtv9xwu7i,Moonlight Over Paris,0.53
2,0.939,Paolo Vivaldi,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,0.153,0.00658,['deep soundtrack'],0.000272,6,0.09,-27.202,0,40,0.0527,66.083,4,4UwG2k8Oqm6cTLpy1Deug0,"Concerto per la solennità di San Lorenzo, RV 556 : II. Largo e cantabile",0.18
3,0.000504,PAPA,spotify:artist:4RddZ3iHvSpGV4dvATac9X,0.581,0.887,"['alternative metal', 'nu metal', 'pop punk', 'post-grunge', 'rap metal', 'rap rock']",0.00111,4,0.268,-3.659,0,74,0.0624,90.578,4,5eek2X5459T1HoYJk2CKXv,Last Resort,0.724
4,0.225,Papa Grows Funk,spotify:artist:3HZGp40qZu7sjn5KswiU3Q,0.814,0.852,"['deep funk', 'new orleans funk']",0.161,9,0.325,-5.941,0,49,0.0557,112.032,4,09bDHWxnX2BjMPbj30PRQ4,Do U Want It?,0.923
5,0.000504,Papa Roach,spotify:artist:4RddZ3iHvSpGV4dvATac9X,0.581,0.887,"['alternative metal', 'nu metal', 'pop punk', 'post-grunge', 'rap metal', 'rap rock']",0.00111,4,0.268,-3.659,0,74,0.0624,90.578,4,5eek2X5459T1HoYJk2CKXv,Last Resort,0.724
6,0.0417,Papa San,spotify:artist:1CFCsEqKrCyvAFKOATQHiW,0.709,0.866,"['dancehall', 'gospel reggae']",0.0,7,0.0469,-4.427,1,44,0.329,155.067,4,2UjAnoy9tsAbIe6GJjt93U,The Fever,0.806
7,0.102,Papa Wemba,spotify:artist:6a4cdntqTPN10fph5A8zRQ,0.67,0.845,"['african gospel', 'afropop', 'azontobeats', 'makossa', 'mande pop', 'soukous', 'world']",0.0102,11,0.0583,-8.216,0,34,0.0565,119.034,4,3jdIHTf8IjrvEP7DF8aOC1,Yolele,0.926
8,0.0569,Papadosio,spotify:artist:22nCgEikczPLtGfDdpRroh,0.467,0.662,['jam band'],0.865,6,0.101,-8.569,1,52,0.0283,170.04,4,6FX4bnL4wZWheKbftUUFVz,Find Your Cloud,0.304
9,0.000768,Paper Diamond,spotify:artist:70YdZdpRWH0JNQc8ABCiAU,0.66,0.763,['glitch hop'],0.0389,4,0.0637,-6.832,0,28,0.0636,137.932,4,3ugooZYqt1Y2S47e2wz7ra,Can We Go Up?,0.652
