,acousticness,artist_name,artist_uri,danceability,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0,0.905,John Shirley-Quirk,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,0.23,0.00765,['classical bass'],0.0,7,0.521,-40.654,0,32,0.0488,86.299,3,6CSX9EOaiA1dSHtQO03GbE,Carmina Burana: IV. Primo vere: Omnia sol temperat (All Things are Warmed by the Sun),0.185
1,0.703,John Story,spotify:artist:5K6CrtQfpRipgTDZbaSj7k,0.517,0.857,['classify'],0.0,4,0.438,-6.882,0,45,0.947,66.967,3,217o1XRTa8BUOT5IhrOFw7,The Xanax Story,0.316
2,0.00103,John Talabot,spotify:artist:1YvN5uOGQkHVUUlZUcnotD,0.691,0.558,"['alternative dance', 'balearic', 'deep house', 'float house', 'indietronica', 'microhouse', 'minimal techno', 'new rave']",0.96,11,0.0886,-8.083,1,44,0.0342,117.99,4,2IlIfKMz6yNBR61uMEt4aj,Sunshine,0.0635
3,0.00103,John Tank Quartet,spotify:artist:1YvN5uOGQkHVUUlZUcnotD,0.691,0.558,"['alternative dance', 'balearic', 'deep house', 'float house', 'indietronica', 'microhouse', 'minimal techno', 'new rave']",0.96,11,0.0886,-8.083,1,44,0.0342,117.99,4,2IlIfKMz6yNBR61uMEt4aj,Sunshine,0.0635
4,0.819,John Tartaglia,spotify:artist:46jo4R1RMxD3Dp3BVy2goz,0.768,0.342,"['broadway', 'comic', 'hollywood', 'show tunes']",0.0,7,0.304,-11.269,1,46,0.542,95.693,4,1qy6zWAhPodaqjVvsunHwn,If You Were Gay,0.599
5,0.983,John Tavener,spotify:artist:5Tu8Yg11u53ZTb0qrXAm3A,0.0829,0.0107,['minimal'],0.106,9,0.0607,-39.295,0,41,0.0435,83.142,1,2dz4Rdp2hxzGbFoEuzfkzn,The Lamb,0.0328
6,0.314,John Taylor,spotify:artist:7EK1bQADBoqbYXnT4Cqv9w,0.455,0.437,['indiecoustica'],0.0,4,0.501,-11.411,1,60,0.0278,81.396,4,5tlyFGagMcqqpbqo2jYKU5,Rocky Mountain High - Remastered,0.724
7,0.0113,John Tejada,spotify:artist:2JWmMcE8Z0vapxOIiT7PLq,0.782,0.566,"['acid house', 'bass music', 'deep house', 'detroit techno', 'dub techno', 'electronic', 'float house', 'intelligent dance music', 'microhouse', 'minimal tech house', 'minimal techno', 'tech house', 'techno']",0.907,1,0.11,-11.133,1,41,0.0546,126.994,4,4nxm7PqINcyIA7lcF5BBJV,Farther And Fainter,0.83
8,0.239,John Tesh,spotify:artist:59B2CHEMh1to8diq0jB92r,0.64,0.497,"['new age', 'new age piano']",0.0,2,0.134,-6.127,0,42,0.027,137.871,4,0I05tt7WMX106xCJiRsEkc,Beyond The Sea,0.443
9,0.664,John the Ghost,spotify:artist:6fYqX8n6gG3FNbSufuvj3E,0.589,0.663,['indie rockism'],0.00301,3,0.111,-7.397,1,36,0.0268,92.025,4,7tHDo6DikGmtI66DtvxvfH,Sour Grapes,0.218
10,0.789,John Thomas,spotify:artist:0YC192cP3KPCRWx8zr8MfZ,0.267,0.417,"['detroit techno', 'techno']",0.938,2,0.112,-14.029,0,49,0.0353,65.96,4,65dzaZqMOZadoKteEzzkuE,"Themes (From ""Pirates of the Caribbean"")",0.576
11,0.106,John Tibbs,spotify:artist:4Wm66SItUBLYFqJq03WH6d,0.549,0.61,"['anthem worship', 'christian uplift']",2.59e-05,1,0.107,-7.445,1,39,0.0296,148.953,4,7gtdma4S3e8fml6be8JP95,Shepherd (feat. Sandra McCracken),0.145
12,0.256,John Travolta,spotify:artist:4BoRxUdrcgbbq1rxJvvhg9,0.743,0.774,['hollywood'],5.03e-05,0,0.155,-5.916,1,61,0.0941,106.564,4,6UUzt6LPtVNwy8l6jqu9C9,You're The One That I Want - From “Grease”,0.833
13,0.958,John Two-Hawks,spotify:artist:67Gb7eYu3zEzI8rCg8kpii,0.217,0.262,['native american'],0.921,4,0.109,-13.305,0,44,0.0295,155.693,4,60EPxhYda9FZCgzhxbi3h8,Of Shadow and Light,0.186
14,0.422,John Vincent III,spotify:artist:1sgVcCMCarG7yWGmkP9wMb,0.477,0.273,['indie anthem-folk'],0.000141,0,0.141,-13.074,1,46,0.0419,168.597,4,4kCSKIFIBo9DMtslnz3tMY,Lost / Inside Our Minds,0.0979
15,0.052,John Waite,spotify:artist:2TPyCsRoh2tjeZLTQ2ojlj,0.552,0.552,"['album rock', 'mellow gold', 'new wave pop', 'soft rock']",0.0,11,0.046,-9.736,0,64,0.0364,208.571,4,1Qrdlkgg9I4J7r3P4kZNwr,Missing You,0.593
16,0.0695,John Waller,spotify:artist:2Px7jTtwBH0nHI1fYSYuaL,0.415,0.664,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",0.0,0,0.109,-3.364,1,40,0.032,133.596,4,77KWKsfFwLXVhdzcuhJMiQ,While I'm Waiting,0.128
17,0.984,John Webber,spotify:artist:1U4pv151m4SgVMg8fXROYp,0.232,0.0292,['deep german hip hop'],0.893,0,0.0483,-27.894,1,38,0.0537,71.355,4,6bRf84dGMC09gpQAKp9dVh,Over the Mountains High (arr. J. Lloyd Webber for cello and piano),0.0661
18,0.773,John West,spotify:artist:0c173mlxpT3dSFRgMO8XPh,0.677,0.579,['carnaval'],0.0,8,0.11,-6.665,0,60,0.16,157.967,4,731Pa6Gt7GAdADATMSEL0N,One Man Can Change The World,0.312
19,0.382,John Wetton,spotify:artist:2dPqql8xbby3nWuf98mAza,0.426,0.409,"['art rock', 'neo-progressive', 'progressive rock', 'symphonic rock']",0.0,10,0.273,-9.246,1,24,0.0416,145.793,4,00rebvyorHbzb10mkBk2dJ,Bohemian Rhapsody,0.349
